,input_text
813,"Title: The Mauritanian | Release Date: 2021-02-12 | Overview: The true story of the Mauritanian Mohamedou Ould Slahi, who was held at the U.S military's Guantanamo Bay detention center without charges for over a decade and sought help from a defense attorney for his release. | Directors: Kevin Macdonald | Cast: Tahar Rahim, Jodie Foster, Benedict Cumberbatch, Shailene Woodley, Zachary Levi | Genres: Drama, Thriller | Production Companies: 30WEST, Topic Studios, STXfilms, SunnyMarch, BBC Film, Shadowplay Features | Production Countries: GB, US"
814,"Title: The Protégé | Release Date: 2021-08-19 | Overview: Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter. | Directors: Martin Campbell | Cast: Maggie Q, Samuel L. Jackson, Michael Keaton, David Rintoul, Patrick Malahide | Genres: Action, Adventure, Thriller | Production Companies: Millennium Media, Arthur Sarkissian Productions, Campbell Grobman Films, Fourteen Films, I Road Productions, Ingenious Media, Seven Stars Entertainment, Signature Pictures, Frame Film, Nu Boyana Film Studios, Lionsgate | Production Countries: BG, RO, GB, US"
815,"Title: The Ice Road | Release Date: 2021-06-24 | Overview: After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners. | Directors: Jonathan Hensleigh | Cast: Liam Neeson, Marcus Thomas, Laurence Fishburne, Amber Midthunder, Holt McCallany | Genres: Action, Thriller | Production Companies: Shivhans Pictures, Code Entertainment, Envision Media Arts, The Solution | Production Countries: CA, US"
816,"Title: Don't Look Up | Release Date: 2021-12-08 | Overview: Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh. | Directors: Adam McKay | Cast: Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan | Genres: Comedy, Science Fiction | Production Companies: Hyperobject Industries | Production Countries: US"
817,"Title: The Unbearable Weight of Massive Talent | Release Date: 2022-04-20 | Overview: Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones. | Directors: Tom Gormican | Cast: Nicolas Cage, Pedro Pascal, Sharon Horgan, Ike Barinholtz, Alessandra Mastronardi | Genres: Action, Comedy, Crime | Production Companies: Saturn Films, Burr! Productions | Production Countries: US"
818,"Title: Renfield | Release Date: 2023-04-07 | Overview: Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy. | Directors: Chris McKay | Cast: Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz, Shohreh Aghdashloo | Genres: Comedy, Fantasy, Horror | Production Companies: Skybound Entertainment, Universal Pictures, Giant Wildcat | Production Countries: US"
819,"Title: Josee, the Tiger and the Fish | Release Date: 2020-12-25 | Overview: With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook. | Directors: Kotaro Tamura | Cast: Taishi Nakagawa, Kaya Kiyohara, Yume Miyamoto, Kazuyuki Okitsu, Lynn | Genres: Animation, Drama, Romance | Production Companies: BONES, KADOKAWA, Shochiku, jeki, TOY'S FACTORY, KDDI, Movie Walker, TBS Radio, Sonilude | Production Countries: JP"
820,"Title: Kingdom of the Planet of the Apes | Release Date: 2024-05-08 | Overview: Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike. | Directors: Wes Ball | Cast: Owen Teague, Freya Allan, Kevin Durand, Peter Macon, William H. Macy | Genres: Science Fiction, Adventure, Action, Drama, Thriller | Production Companies: 20th Century Studios, Oddball Entertainment, Jason T. Reed Productions | Production Countries: US"
821,"Title: Hard Hit | Release Date: 2021-06-23 | Overview: On his way to work, a bank manager receives an anonymous call claiming there's a bomb under his car seat, and if anyone exits the car, it will explode unless he can pay a ransom. | Directors: Kim Chang-ju | Cast: Jo Woo-jin, Lee Jae-in, Ji Chang-wook, Jin Kyung, Kim Ji-ho | Genres: Action, Crime, Drama, Thriller | Production Companies: CJ Entertainment, TPS Company, CJ ENM | Production Countries: KR"
822,"Title: Poupelle of Chimney Town | Release Date: 2020-12-25 | Overview: The story is about a young boy named Lubicchi and a trashman named Poupelle who meet on a Halloween night in a city that is full of tall chimneys. The chimneys pour out black smoke and the true sky cannot be seen. | Directors: Yusuke Hirota | Cast: Masataka Kubota, Mana Ashida, Shinosuke Tatekawa, Eiko Koike, Shingo Fujimori | Genres: Animation, Drama, Fantasy, Adventure | Production Companies: Yoshimoto Kogyo, STUDIO4℃ | Production Countries: JP"
823,"Title: A Man of Reason | Release Date: 2023-08-15 | Overview: After spending a decade in prison, a hitman learns that he has a daughter and just wants a chance at a normal life. But his former mob boss wants him back at any cost, sending merciless assassins after him. | Directors: Jung Woo-sung | Cast: Jung Woo-sung, Kim Nam-gil, Park Sung-woong, Kim Jun-han, Park You-na | Genres: Action, Thriller, Drama | Production Companies: Acemaker Movieworks, Studio Take, Epic Pictures Group | Production Countries: KR"
824,"Title: Noryang: Deadly Sea | Release Date: 2023-12-20 | Overview: The Imjin War reaches its seventh year in December of 1598. Admiral Yi Sun-shin learns that the Wa invaders in Joseon are preparing for a swift withdrawal following the deathbed orders of their leader Toyotomi Hideyoshi. Determined to destroy the enemy once and for all, Admiral Yi leads an allied fleet of Joseon and Ming ships to mount a blockade and annihilate the Wa army. However, once Ming commander Chen Lin is bribed into lifting the blockade, Wa lord Shimazu Yoshihiro and his Satsuma army sail to the Wa army's rescue at Noryang Strait. | Directors: Kim Han-min | Cast: Kim Yun-seok, Baek Yoon-sik, Jung Jae-young, Huh Joon-ho, Kim Sung-kyu | Genres: War, Action, History, Drama | Production Companies: Big Stone Pictures | Production Countries: KR"
825,"Title: Operation Mincemeat | Release Date: 2022-04-01 | Overview: In 1943, two British intelligence officers concoct Operation Mincemeat, wherein their plan to drop a corpse with false papers off the coast of Spain would fool Nazi spies into believing the Allied forces were planning to attack by way of Greece rather than Sicily. | Directors: John Madden | Cast: Colin Firth, Matthew Macfadyen, Kelly Macdonald, Penelope Wilton, Johnny Flynn | Genres: War, History, Drama | Production Companies: See-Saw Films, Cohen Media Group, A Film Location Company, Archery Pictures, FilmNation Entertainment, Palma Pictures, Cross City Films, Haversack Films Limited | Production Countries: GB, US"
826,"Title: The Woman Who Ran | Release Date: 2020-09-17 | Overview: While her husband is on a business trip, Gam-hee meets three of her friends on the outskirts of Seoul. | Directors: Hong Sang-soo | Cast: Kim Min-hee, Seo Young-hwa, Song Sun-mi, Kim Sae-byuk, Kwon Hae-hyo | Genres: Drama | Production Companies: Jeonwonsa Film | Production Countries: KR"
827,"Title: Detective Conan: The Scarlet Bullet | Release Date: 2021-04-16 | Overview: At the opening ceremony of the WSG (World Sports Games) Tokyo Games, a sports festival held once every four years, it is announced that the world's first vacuum superconducting maglev with a maximum speed of 1,000 kilometers per hour will open. While attracting attention from around the world, top executives of large companies are kidnapped from the party venue where WSG tournament sponsors gather. Conan moves toward a solution and eventually finds a connection with the WSG abduction case that occurred 15 years ago in Boston, USA. | Directors: Chika Nagaoka | Cast: Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Rikiya Koyama, Shuichi Ikeda | Genres: Animation, Action, Crime, Mystery, Romance, Thriller | Production Companies: TMS Entertainment, Shogakukan, Yomiuri Telecasting Corporation, Nippon Television Network Corporation, Shogakukan-Shueisha Productions, TOHO, Audio Planning U | Production Countries: JP"
828,"Title: Marionette | Release Date: 2020-09-28 | Overview: A therapist loses her grip on reality when a ten-year-old boy claims he can control her future. | Directors: Elbert van Strien | Cast: Thekla Reuten, Elijah Wolf, Emun Elliott, Sam Hazeldine, Dawn Steele | Genres: Thriller | Production Companies: Accento Films, Black Camel Pictures, BosBros, Samsa Film | Production Countries: LU, NL, GB"
829,"Title: Pokémon the Movie: Secrets of the Jungle | Release Date: 2020-12-25 | Overview: In the Forest of Okoya, Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed. | Directors: Tetsuo Yajima | Cast: Rica Matsumoto, Ikue Otani, Moka Kamishiraishi, Megumi Hayashibara, Shin-ichiro Miki | Genres: Animation, Adventure, Family, Fantasy | Production Companies: TOHO, Pikachu Project, OLM, The Pokémon Company, Shogakukan, TV Tokyo, TakaraTomy, jeki, Shogakukan-Shueisha Productions | Production Countries: JP"
830,"Title: Love Sarah | Release Date: 2020-07-02 | Overview: A young woman wishes to fulfill her mother's dream of opening her own bakery in Notting Hill, London. To do this, she enlists the help of an old friend and her grandma. | Directors: Eliza Schroeder | Cast: Celia Imrie, Bill Paterson, Shannon Tarbet, Shelley Conn, Rupert Penry-Jones | Genres: Drama | Production Companies: Miraj Films, Neopol Film, Rainstar Productions | Production Countries: GB"
831,"Title: Transformers: Rise of the Beasts | Release Date: 2023-06-06 | Overview: When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth. | Directors: Steven Caple Jr. | Cast: Anthony Ramos, Dominique Fishback, Peter Cullen, Ron Perlman, Peter Dinklage | Genres: Science Fiction, Adventure, Action | Production Companies: Skydance Media, Paramount Pictures, di Bonaventura Pictures, Bay Films, New Republic Pictures, DeSanto/Murphy Productions, Hasbro | Production Countries: US"
832,"Title: The Creator | Release Date: 2023-09-27 | Overview: Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself. | Directors: Gareth Edwards | Cast: John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney, Ken Watanabe | Genres: Science Fiction, Action, Adventure | Production Companies: New Regency Pictures, Entertainment One, Regency Enterprises, Bad Dreams Productions | Production Countries: CA, US"
833,"Title: A Christmas Gift from Bob | Release Date: 2020-11-27 | Overview: James Bowen finds himself the target of an animal welfare investigation that threatens to take away his beloved cat, Bob, at Christmas. | Directors: Charles Martin Smith | Cast: Luke Treadaway, Kristina Tonteri-Young, Phaldut Sharma, Nina Wadia, Celyn Jones | Genres: Family, Drama | Production Companies: Align, The Exchange, Parkhouse Pictures, Studio Pictures, Twickenham Film, Lionsgate | Production Countries: GB"
834,"Title: PAW Patrol: The Movie | Release Date: 2021-08-09 | Overview: Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos. | Directors: Cal Brunker | Cast: Tyler Perry, Ron Pardo, Will Brisbin, Kingsley Marshall, Keegan Hedley | Genres: Family, Comedy, Adventure, Animation | Production Companies: Spin Master, Nickelodeon Movies, Paramount Pictures, Mikros Image, Mikros Animation | Production Countries: CA, FR, US"
835,"Title: Prey for the Devil | Release Date: 2022-10-23 | Overview: In response to a global rise in demonic possessions, the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield, an unlikely warrior rises: a young nun, Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante, Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her. | Directors: Daniel Stamm | Cast: Jacqueline Byers, Colin Salmon, Christian Navarro, Lisa Palfrey, Nicholas Ralph | Genres: Horror, Thriller | Production Companies: Lionsgate, Gold Circle Films, Confluence Productions | Production Countries: US"
836,"Title: Sound of Freedom | Release Date: 2023-07-03 | Overview: The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers. | Directors: Alejandro Monteverde | Cast: Jim Caviezel, Mira Sorvino, Bill Camp, Gerardo Taracena, Kurt Fuller | Genres: Action, Drama | Production Companies: Santa Fe Films | Production Countries: US"
837,"Title: Vanishing | Release Date: 2022-03-30 | Overview: When a series of gruesome murders hit Seoul, the Korean investigation police has no choice but to ask help from world-renowned French doctor Alice Launey who developed a revolutionary technique for recognizing bodies. With more corpses on the way and a mysterious organ trafficking ring uncovered, things are about to get more dangerous in the land of the morning calm… | Directors: Denis Dercourt | Cast: Yoo Yeon-seok, Olga Kurylenko, Ye Ji-won, Choi Moo-seong, Lee Seung-joon | Genres: Thriller, Crime | Production Companies: Canal+, The French Connection | Production Countries: FR, KR"
838,"Title: Cosmic Sin | Release Date: 2021-03-12 | Overview: In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late. | Directors: Edward Drake | Cast: Bruce Willis, Adelaide Kane, Frank Grillo, Lochlyn Munro, Costas Mandylor | Genres: Science Fiction, Action, Adventure | Production Companies: 308 Enterprises, BondIt Media Capital, Buffalo 8, The Exchange | Production Countries: US"
839,"Title: Habit | Release Date: 2021-08-20 | Overview: The story of a streetwise party girl who gets mixed up in a violent drug deal and finds a possible way out - by masquerading as a Catholic nun. | Directors: Janell Shirtcliff | Cast: Bella Thorne, Andreja Pejić, Gavin Rossdale, Libby Mintz, Josie Ho | Genres: Crime, Thriller, Comedy | Production Companies: Grindstone Entertainment Group, Lionsgate, Voltage Pictures, 852 Films, Elevated Films, Martingale Films, Cloudlight Entertainment | Production Countries: US"
840,"Title: Where the Crawdads Sing | Release Date: 2022-07-14 | Overview: Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder. | Directors: Olivia Newman | Cast: Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn, Michael Hyatt | Genres: Drama, Mystery, Romance | Production Companies: 3000 Pictures, Hello Sunshine, HarperCollins Publishers | Production Countries: US"
841,"Title: Earwig and the Witch | Release Date: 2021-02-03 | Overview: A headstrong orphan discovers a world of spells and potions while living with a selfish witch. | Directors: Goro Miyazaki | Cast: Kokoro Hirasawa, Shinobu Terajima, Gaku Hamada, Sherina Munaf, Etsushi Toyokawa | Genres: Animation, Fantasy, Family | Production Companies: Studio Ghibli, NHK, NHK Enterprises | Production Countries: JP"
842,"Title: Wife of a Spy | Release Date: 2020-10-16 | Overview: It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions. | Directors: Kiyoshi Kurosawa | Cast: Yu Aoi, Issey Takahashi, Masahiro Higashide, Ryota Bando, Yuri Tsunematsu | Genres: Drama, War, Thriller | Production Companies: C&I entertainment, NHK Enterprises, Incline, ENBU Seminar, Kirinzi, Weroll, Nikkatsu Corporation, The Asahi Shimbun, Bitters End, AMUSE, DISK GARAGE, ASANO LABORATORIES, L'espace Vision, FELLOWS, ENBU Seminal, Kodansha, NHK | Production Countries: JP"
843,"Title: Proximity | Release Date: 2020-05-15 | Overview: A young NASA JPL scientist is abducted by extraterrestrials but when no one believes his story he becomes obsessed with finding proof which leads him on a journey of discovery. | Directors: Eric Demeusy | Cast: Ryan Masson, Highdee Kuan, Christian Prentice, Shaw Jones, Nomi Abadi | Genres: Science Fiction, Drama | Production Companies: Demeusy Pictures | Production Countries: US"
844,"Title: We Made a Beautiful Bouquet | Release Date: 2021-01-29 | Overview: Two people meet each other after missing the last train home, leading to a beautiful relationship over five years. | Directors: Nobuhiro Doi | Cast: Masaki Suda, Kasumi Arimura, Kaya Kiyohara, Kanata Hosoda, Joe Odagiri | Genres: Romance, Drama | Production Companies: Little More, TBS, Tokyo Theatres Company, Film Makers, TC Entertainment, BS TV Tokyo, TBS Sparkle, TV Tokyo, jeki, CBC, MBS, The Asahi Shimbun, KDDI, TV Osaka, FLaMme | Production Countries: JP"
845,"Title: Paydirt | Release Date: 2020-08-07 | Overview: A parolee teams up with his old crew determined to find a buried bag of cash stolen a decade ago from a DEA bust gone bad, while being tracked by a retired Sheriff. | Directors: Christian Sesma | Cast: Luke Goss, Val Kilmer, Mike Hatton, Paul Sloan, Nick Vallelonga | Genres: Action, Crime, Thriller | Production Companies: Ton of Hats, Seskri Produktionz, Octane Entertainment | Production Countries: US"
846,"Title: Mickey 17 | Release Date: 2025-02-28 | Overview: Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living. | Directors: Bong Joon Ho | Cast: Robert Pattinson, Naomi Ackie, Steven Yeun, Mark Ruffalo, Toni Collette | Genres: Science Fiction, Comedy, Adventure | Production Companies: Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment | Production Countries: US, GB"
847,"Title: Tokyo Revengers | Release Date: 2021-07-09 | Overview: An unemployed man learns that his ex-girlfriend was murdered. He suddenly finds himself travelling through time to his middle school years and has chance to change the future and save the girl. He aims to rise to the top of the most brutal delinquent gang. | Directors: Tsutomu Hanabusa | Cast: Takumi Kitamura, Ryo Yoshizawa, Yuki Yamada, Yosuke Sugino, Mio Imada | Genres: Action, Drama, Crime | Production Companies: KADOKAWA Daiei Studio, Fuji Television Network, Warner Bros. Japan, Kodansha | Production Countries: JP"
848,"Title: Transformers One | Release Date: 2024-09-11 | Overview: The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever. | Directors: Josh Cooley | Cast: Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Jon Hamm | Genres: Animation, Science Fiction, Adventure, Family | Production Companies: Paramount Animation, di Bonaventura Pictures, DeSanto/Murphy Productions, Bay Films, New Republic Pictures, Hasbro Entertainment | Production Countries: US"
849,"Title: 65 | Release Date: 2023-03-02 | Overview: 65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet. | Directors: Scott Beck, Bryan Woods | Cast: Adam Driver, Ariana Greenblatt, Chloe Coleman, Nika King, Brian Dare | Genres: Action, Adventure, Science Fiction | Production Companies: Raimi Productions, Beck/Woods, Bron Studios, Columbia Pictures, TSG Entertainment | Production Countries: CA, US"
850,"Title: Decision to Leave | Release Date: 2022-06-29 | Overview: From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire. | Directors: Park Chan-wook | Cast: Tang Wei, Park Hae-il, Lee Jung-hyun, Go Kyung-pyo, Park Yong-woo | Genres: Thriller, Mystery, Romance | Production Companies: Moho Film, CJ ENM | Production Countries: KR"
851,"Title: They Reach | Release Date: 2020-03-14 | Overview: In 1979, a young girl stumbles upon a possessed tape player. She unknowingly unleashes a demonic entity that haunts her family while slowly dragging the small town of Clarkston to Hell. | Directors: Sylas Dall | Cast: Mary Madaline Roe, Morgan Chandler, Eden Campbell, Kyan Zielinski, Elizabeth Rhoades | Genres: Adventure, Horror | Production Companies: Rocket Rat Pictures, Single Schred Films | Production Countries: US"
852,"Title: Rogue | Release Date: 2020-08-20 | Overview: Battle-hardened O’Hara leads a lively mercenary team of soldiers on a daring mission: rescue hostages from their captors in remote Africa. But as the mission goes awry and the team is stranded, O’Hara’s squad must face a bloody, brutal encounter with a gang of rebels. | Directors: M.J. Bassett | Cast: Megan Fox, Philip Winchester, Greg Kriek, Brandon Auret, Jessica Sutton | Genres: Action, Adventure | Production Companies: Mannequin Pictures, Electric Shadow Company, Lionsgate, Grindstone Entertainment Group, Hassell Free Productions | Production Countries: ZA, US, GB"
853,"Title: Lightyear | Release Date: 2022-06-15 | Overview: Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox. | Directors: Angus MacLane | Cast: Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi, Dale Soules | Genres: Animation, Science Fiction, Family, Adventure | Production Companies: Pixar, Walt Disney Pictures | Production Countries: US"
854,"Title: Twisters | Release Date: 2024-07-10 | Overview: As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives. | Directors: Lee Isaac Chung | Cast: Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney | Genres: Action, Thriller | Production Companies: Universal Pictures, Warner Bros. Pictures, Amblin Entertainment, Domain Entertainment | Production Countries: US"
855,"Title: A Nice Girl Like You | Release Date: 2020-07-18 | Overview: Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love. | Directors: Chris Riedell, Nick Riedell | Cast: Lucy Hale, Leonidas Gulaptis, Mindy Cohn, Jackie Cruz, Adhir Kalyan | Genres: Comedy, Romance | Production Companies: Vertical, SPR Media, Affirmative Entertainment, CaliWood Pictures, Voltage Pictures | Production Countries: US"
856,"Title: Bullet Train | Release Date: 2022-08-03 | Overview: Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train. | Directors: David Leitch | Cast: Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry, Andrew Koji | Genres: Action, Comedy, Thriller | Production Companies: 87North Productions, Columbia Pictures | Production Countries: US"
857,"Title: The Cursed: Dead Man's Prey | Release Date: 2021-07-28 | Overview: Following a brutal murder case, the police are baffled to find out that the assailant, whose body was found on the scene with the victim, had already been dead for three months. Meanwhile, journalist Jin-hee sets up a live interview with an anonymous caller claiming he is the true killer behind the mysterious murder. When the man announces three more murders will occur in the hands of the undead, Jin-hee must face the sinister forces beyond understanding. | Directors: Kim Yong-wan | Cast: Uhm Ji-won, Jung Ji-so, Jung Moon-sung, Kim In-kwon, Ko Kyu-phil | Genres: Thriller, Mystery, Horror | Production Companies: Climax Studios, Studio Dragon, CJ Entertainment, KEYEAST, CJ ENM | Production Countries: KR"
858,"Title: The Gray Man | Release Date: 2022-07-13 | Overview: When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head. | Directors: Joe Russo, Anthony Russo | Cast: Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton, Jessica Henwick | Genres: Action, Thriller | Production Companies: AGBO, Roth-Kirschenbaum Films | Production Countries: US"
859,"Title: Project Silence | Release Date: 2024-07-11 | Overview: Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks. | Directors: Kim Tae-gon | Cast: Lee Sun-kyun, Ju Ji-hoon, Kim Hee-won, Moon Sung-keun, Ye Su-jeong | Genres: Thriller, Action, Horror, Science Fiction, Adventure | Production Companies: Blaad Studios, CJ ENM, CJ ENM Studios | Production Countries: KR"
860,"Title: Hunt | Release Date: 2022-08-10 | Overview: After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho and Domestic Unit chief Kim Jung-do are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other. | Directors: Lee Jung-jae | Cast: Lee Jung-jae, Jung Woo-sung, Jeon Hye-jin, Heo Sung-tae, Go Youn-jung | Genres: Action, Mystery, Drama | Production Companies: Sanai Pictures, Artist Studio | Production Countries: KR"
861,"Title: Stand by Me Doraemon 2 | Release Date: 2020-11-20 | Overview: Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. | Directors: Takashi Yamazaki, Ryuichi Yagi | Cast: Wasabi Mizuta, Megumi Oohara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki | Genres: Animation, Family, Science Fiction, Adventure | Production Companies: TOHO, Shin-Ei Animation, Fujiko Productions, Shogakukan, TV Asahi, Shogakukan-Shueisha Productions, Shirogumi, Robot Communications, dentsu, ADK | Production Countries: JP"
862,"Title: Concrete Utopia | Release Date: 2023-08-09 | Overview: The world has been reduced to rubble by a massive earthquake. While no one knows for sure how far the ruins stretch, or what the cause of the earthquake may be, in the heart of Seoul there is only one apartment building left standing. It is called Hwang Gung Apartments. As time passes, outsiders start coming in to Hwang Gung Apartments trying to escape the extreme cold. Before long, the apartment residents are unable to cope with the increasing numbers. Feeling a threat to their very survival, the residents enact a special measure. | Directors: Um Tae-hwa | Cast: Lee Byung-hun, Park Seo-jun, Park Bo-young, Kim Sun-young, Kim Do-yoon | Genres: Thriller, Science Fiction, Adventure, Action | Production Companies: Climax Studios, BH Entertainment, Lotte Entertainment | Production Countries: KR"
863,"Title: Cyrano | Release Date: 2021-04-14 | Overview: A man ahead of his time, Cyrano de Bergerac dazzles whether with ferocious wordplay at a verbal joust or with brilliant swordplay in a duel. But, convinced that his appearance renders him unworthy of the love of a devoted friend, the luminous Roxanne, Cyrano has yet to declare his feelings for her—and Roxanne has fallen in love, at first sight, with Christian. | Directors: Joe Wright | Cast: Peter Dinklage, Haley Bennett, Kelvin Harrison, Jr., Ben Mendelsohn, Monica Dolan | Genres: Drama, Romance | Production Companies: Metro-Goldwyn-Mayer, Working Title Films, Bron Studios, Creative Wealth Media Finance | Production Countries: CA, GB, US"
864,"Title: Break the Silence: The Movie | Release Date: 2020-09-10 | Overview: K-pop sensation BTS embark on their 2019 'Love Yourself: Speak Yourself' Tour, as the seven members begin to candidly tell personal stories they have never voiced before. | Directors: Park Jun-soo | Cast: RM, Jin, Suga, j-hope, Jimin | Genres: Music, Documentary | Production Companies: Big Hit Entertainment, CJ CGV, HYBE | Production Countries: KR"
865,"Title: Miracle: Letters to the President | Release Date: 2021-09-15 | Overview: Dreaming of making a way station for his sister and the villagers who have no choice but to commute along the dangerous train tracks every day, Joon-kyung sends many letters to the President, but with no reply. Ra-hee, who has a crush on Joon-kyung, does everything she can to help him meet the President. | Directors: Lee Jang-hoon | Cast: Park Jeong-min, Yoona, Lee Sung-min, Lee Soo-kyung, Jung Moon-sung | Genres: Drama | Production Companies: Blossom Pictures | Production Countries: KR"
866,"Title: Gintama: The Very Final | Release Date: 2021-01-08 | Overview: The concluding film to the Gintama animated series, adapting the final chapters of the comic series of the same name by Hideaki Sorachi. The film covers chapters 699–704 of the original comics, with original material added in. | Directors: Chizuru Miyawaki | Cast: Tomokazu Sugita, Daisuke Sakaguchi, Rie Kugimiya, Kazuya Nakai, Akira Ishida | Genres: Animation, Action, Comedy | Production Companies: Bandai Namco Pictures, Shueisha, Aniplex, TV Tokyo, dentsu, Bandai, Warner Bros. Japan | Production Countries: JP"
